DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label,AILP,AIRLP,RHOBLP,GRLP,PHIELP
546.3,1855.9817,548.2034,47.8811,3385667.5,188158.9844,0.4963,3,3596352.765512145,255022.5020436339,1900.9142789689183,47.99563967281012,0.4695583067812519
546.45,1890.2886,542.1943,44.8833,3486699.5,188158.9844,0.4748,3,3601063.097485951,259942.2393385672,1903.493336281969,48.23779859896207,0.4679394014087001
546.6,1934.7727,531.8121,41.4343,3638946.5,240449.2188,0.4471,3,3606591.1695320746,264836.3588101167,1906.3553532650483,48.508266136893006,0.466143783981906
546.75,1935.2428,516.0869,34.0049,3750522.25,308317.1875,0.4467,3,3612939.3314671135,269701.3087627066,1909.5042167491217,48.8087337034344,0.4641690716437715
546.9,1896.488,509.9723,30.6385,3718821.0,331117.25,0.4709,3,3620104.8617417505,274533.24145711237,1912.942095322508,49.14069261441879,0.46201395487456953
547.05,1827.863,513.8607,30.6385,3557695.75,331117.25,0.5138,3,3628079.9187020427,279327.99001378403,1916.6693881068559,49.50541631484468,0.4596782290733548
547.2,1779.1509,519.6772,32.3194,3423812.0,331117.25,0.5442,3,3636851.5304841166,284081.04830778606,1920.6846855583399,49.90394407301323,0.457162818637066
547.35,1740.3098,530.717,39.0035,3280407.0,331117.25,0.5685,3,3646401.623904354,288787.55414238974,1924.9847427389952,50.337066302227754,0.4544697932634887
547.5,1724.7687,544.0891,46.2941,3170364.5,331117.25,0.5783,3,3656707.0923722973,293442.2759572457,1929.5644654084783,50.8053116622951,0.451602376263124
547.65,1747.8846,545.0869,52.3425,3207039.0,331117.25,0.5638,3,3667739.9025167366,298039.6032934793,1934.4169091881552,51.3089360801924,0.4485649447262027
547.8,1828.7393,533.8246,57.0732,3427847.5,331117.25,0.5133,3,3679467.2388798064,302573.5412023309,1939.5332919481293,51.8479138149555,0.44536302145409384
547.95,1936.8506,520.8217,58.7551,3720459.0,331117.25,0.4457,3,3691851.6857025097,307037.7087464677,1944.9030194643906,52.42193067621138,0.44200325862864953
548.1,1993.1176,506.8183,58.7551,3933862.5,331117.25,0.4105,3,3704851.444501176,311425.3417041917,1950.5137242885753,53.030379488937236,0.4384934132580353
548.25,2000.8184,496.9668,58.214,4026118.25,331117.25,0.4057,3,3718420.585820883,315729.29954685934,1956.3513176677532,53.67235787911621,0.43484231450275745
548.4,1988.119,497.2486,57.6434,3998460.0,331117.25,0.4137,3,3732509.333251856,319942.0767192954,1962.4000542471783,54.34666843612193,0.4310598230503309
548.55,1949.624,507.5767,57.6434,3843032.25,331117.25,0.4377,3,3747064.3775111544,324055.8182122291,1968.6426091860394,55.05182128805336,0.4271567827707962
548.7,1898.25,524.5233,58.7453,3620698.75,331117.25,0.4699,3,3762029.21812744,328062.33937519917,1975.0601672159155,55.78603910602427,0.4231449649475242
548.85,1876.7493,541.2097,60.2823,3468307.5,331117.25,0.4833,3,3777344.530023906,331953.14987834916,1981.6325230746936,56.54726453276133,0.4190370054378952
549.0,1902.422,547.7555,60.4659,3473527.75,331117.25,0.4672,3,3792948.5520758736,335719.4816924423,1988.3381926560307,57.33317000996136,0.41484633517595504
549.15,1955.0929,539.6057,60.4659,3624017.0,331117.25,0.4343,3,3808777.4945272165,339352.3209186231,1995.1545341268961,58.14116995788416,0.4105871044835233
549.3,2012.5509,525.9037,60.1914,3829066.5,331117.25,0.3984,3,3824765.9619856584,342842.44326328894,2002.057878183989,58.96843523980174,0.4062741017069987
549.45,2072.1038,506.6518,59.5754,4092282.75,331117.25,0.3612,3,3840847.388582933,346180.4529192359,2009.0236665446525,59.81190982337644,0.4019226667438045
549.6,2122.6548,495.9673,59.2881,4279851.5,331117.25,0.3296,3,3856954.481782879,349356.8245823166,2016.0265976998915,60.66832953099315,0.39754860006464454
549.75,2113.7673,501.9692,59.267,4211941.5,331117.25,0.3351,3,3873019.6712498516,352361.94830347586,2023.0407788968687,61.53424275171091,0.3931680678751202
549.9,2090.7214,517.5947,59.2771,4040942.0,331117.25,0.3495,3,3888975.5591521636,355186.1768494733,2030.0398832663186,62.40603296900995,0.3887975040924607
550.05,2066.0471,535.9671,59.0925,3855829.5,331117.25,0.3649,3,3904755.3682709187,357819.87522207136,2036.9973109671148,63.27994294106907,0.3844535098398497
550.2,2050.8438,551.6367,59.0054,3718214.25,331117.25,0.3745,3,3920293.3843134493,360253.4719651649,2043.886353186171,64.15210035408725,0.38015275118185393
550.35,2041.5547,556.722,60.1021,3667566.75,333719.875,0.3803,3,3935525.388892278,362477.5118724087,2050.6803578072245,65.01854475432839,0.37591185583959996
550.5,2047.2344,543.3686,60.2175,3768223.0,349325.4375,0.3767,3,3950389.0797243714,364482.7096944833,2057.3528955471043,65.87525555127101,0.37174730963348324
